"identifier-label","accent 4","accent 5","accent href 5","accent 6","accent 7","accent 8","component--field-formatter 3","component--field-formatter 4","component--field-formatter 5","accent 10","accent 11","accent 12","accent 13","component--field-formatter 7","component--field-formatter 8","component--field-formatter 9","accent 14","component--field-formatter 10","accent 15","accent 16","accent href 16","accent 17","accent href 17","component--field-formatter 11","component--field-formatter 12","component--field-formatter 13","component--field-formatter 14","component--field-formatter 15","component--field-formatter 16","component--field-formatter 17","component--field-formatter 18","component--field-formatter href 7","component--field-formatter 19","component--field-formatter href 8","component--field-formatter 20","component--field-formatter href 9","ng-star-inserted 2","component--field-formatter 21","component--field-formatter 22","component--field-formatter href 10","component--field-formatter 23","component--field-formatter 24","component--field-formatter 25","component--field-formatter 26","component--field-formatter 27","component--field-formatter 28","component--field-formatter href 11","accent 18","accent href 18","component--field-formatter 29","component--field-formatter href 12","accent 19","accent href 19","component--field-formatter href 13","component--field-formatter 30","accent 20","accent href 20","accent 21","accent href 21","component--field-formatter 31","ng-star-inserted 3","ng-star-inserted 4"
"Bluesky","Media and Entertainment","Messaging and Telecommunications","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/messaging-and-telecommunications","Software","Seattle","Washington","Series B","Apr 1, 2025",",,,","Apps","Messaging","Social Media","Social Network","61","45","—","Women Founded",",,","Greater Seattle Area","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","Western US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/western-united-states","98104","Active","2021","—","—","For Profit","bsky.social","View on Twitter","https://x.com/bluesky","View on Facebook","https://www.facebook.com/blueskysocialweb","View on LinkedIn","https://www.linkedin.com/company/bluesky-pbllc","support@bsky.app","+1 206-889-5601","682","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/bluesky-514d","—","Bluesky develops an open social media and a microblogging platform designed to facilitate decentralized communication and user identity. The organization provides an ecosystem where individuals can choose their own algorithms, subscribe to custom feeds, and manage their experience through personalized moderation tools. Its infrastructure allows for a shared identity across the social internet, enabling developers to build independent applications on a common foundation.","—","—","—","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/bluesky-514d","Jay Graber","https://www.crunchbase.com/person/jay-graber-c108","1","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/bluesky-514d","","","","","","","","","","",""
"Function Health","","","","","Austin","Texas","Series B","Nov 19, 2025",",,,,","Health Care","Health Diagnostics","Medical","Personal Health","64","46","$10M to $50M","Women Founded","","Southern US","","","","","78701","Active","2022","—","—","For Profit","www.functionhealth.com","View on Twitter","https://x.com/function","View on Facebook","https://www.facebook.com/askfunction","View on LinkedIn","https://www.linkedin.com/company/functionhealth","hello@functionhealth.com","+1 833 957 3303","118","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/function-health","Unicorn","Function Health is a health platform offering lab tests to help individuals monitor their health.","—","—","—","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/function-health","Daniel Swerdlin","https://www.crunchbase.com/person/daniel-swerdlin","5","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/function-health","Software","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000",",,,,","Jonathan Swerdlin","https://www.crunchbase.com/person/jonathan-swerdlin","Mike Nemke","https://www.crunchbase.com/person/mike-nemke","","",""
"Writer","Science and Engineering","Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6","","San Francisco","California","Series C","Nov 12, 2024",",,,,,,","Agentic AI","Content","Foundational AI","Generative AI","92","65","$50M to $100M","South Asian Founded",",,","San Francisco Bay Area","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","Western US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/western-united-states","94108","Active","Aug 30, 2020","—","—","For Profit","writer.com","View on Twitter","https://x.com/get_writer","View on Facebook","https://www.facebook.com/WriterAI","View on LinkedIn","http://www.linkedin.com/company/getwriter","marketing@writer.com","+1 (415) 400-5299","132","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/writer","Unicorn","Writer is a full-stack generative AI platform that helps businesses use large language models to generate writing and content that can be used across different departments, including operations, products, sales, human resources, marketing, and more. Its platform provides an integrated system of LLMs, graph-based RAG, AI guardrails, and development tools for organizations to deploy AI apps and workflows that deliver impactful return on investment.","—","—","—","251-500","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/writer","May Habib","https://www.crunchbase.com/person/may-habib","2","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/writer","Natural Language Processing","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/natural-language-processing","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00050000",",","Waseem AlShikh","https://www.crunchbase.com/person/waseem-alsheikh","","",",,","",""
"Sage","","","","","Brooklyn","New York","Series C","Mar 5, 2026",",,,","Elder Care","Medical","Nursing and Residential Care","Software","102","75","—","Women Founded",",,","Greater New York Area","East Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/east-coast-united-states","Northeastern US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/northeastern-united-states","11249","Active","2020","—","—","For Profit","www.sagehealth.com","View on Twitter","https://x.com/hellosageNYC","View on Facebook","https://www.facebook.com/people/Hello-Sage/61553330250918","View on LinkedIn","https://www.linkedin.com/company/hellosage","bd@hellosage.com","—","176","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/sage-58f2","—","Sage develops software and connected hardware used by senior living communities to manage resident care and facility operations. The company provides a unified care platform that integrates nurse call systems, fall detection tools, communication features, and data analytics into a single environment used by caregivers and facility staff. Its platform includes products such as Sage Core, Sage Detect, and Sage Insight, which support care coordination, safety monitoring, and operational visibility across assisted living and long-term care environments. The system collects real-time information from devices and care workflows to help staff track resident needs, respond to alerts, and document care activities. Facilities use the platform to manage tasks such as call response, fall management, and communication between caregivers and administrators. The software also integrates with electronic health records and other facility systems to create a centralized source of information about resident care and operational activities.","—","—","—","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/sage-58f2","Ellen Johnston","https://www.crunchbase.com/person/ellen-johnston","3","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/sage-58f2","","","",",,","Matthew Lynch","https://www.crunchbase.com/person/matthew-lynch-3a94","Raj Mehra","https://www.crunchbase.com/person/raj-mehra-02f6","","",""
"Parallel","Science and Engineering","Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6","","Palo Alto","California","Series B","Apr 28, 2026",",,","Artificial Intelligence (AI)","Developer APIs","Information Technology","","104","76","—","",",,","San Francisco Bay Area","Silicon Valley","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/silicon-valley-california","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","—","Active","2023","—","—","For Profit","www.parallel.ai","View on Twitter","https://x.com/p0","","","View on LinkedIn","https://www.linkedin.com/company/parallel-web","hello@parallel.ai.","—","64","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/parallel-463d","Unicorn","Parallel develops web-based infrastructure and APIs designed to enable artificial intelligence systems to access, process, and act on information from the open web. Its platform provides tools such as search, extraction, task execution, and monitoring APIs that allow AI agents to perform complex, multi-step research and data retrieval workflows. The company focuses on building systems that combine data retrieval, computation, and reasoning into unified outputs, emphasizing verifiable results and traceable sources. Its technology supports use cases such as structured data generation, continuous web monitoring, and automated dataset enrichment using real-time web data. Overall, Parallel Web Systems is oriented toward creating infrastructure that enables AI agents to interact with the web programmatically rather than through traditional human browsing patterns.","—","—","—","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/parallel-463d","Parag Agrawal","https://www.crunchbase.com/person/parag-agrawal-44e3","1","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/parallel-463d","","","","","","","","","—","—",""
"Clay","Sales and Marketing","Science and Engineering","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/science-and-engineering","Software","New York","New York","Series C","Jun 13, 2025",",,,,,","Artificial Intelligence (AI)","Developer Tools","Lead Generation","Productivity Tools","113","83","—","Middle Eastern / North African Founded",",,","Greater New York Area","East Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/east-coast-united-states","Northeastern US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/northeastern-united-states","10013","Active","Jul 25, 2017","—","—","For Profit","clay.com","View on Twitter","https://x.com/clayrunhq","","","View on LinkedIn","https://www.linkedin.com/company/clay-run","friends@clay.com","—","101","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/clay-953f","Unicorn","Clay provides a platform for go-to-market teams to use unique data and AI. The platform offers access to over 100 data providers for contact information, firmographics, and other data points. It also includes an AI research agent to automate manual research and create flexible workflows.","—","—","—","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/clay-953f","Kareem Amin","https://www.crunchbase.com/person/kareem-amin","3","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/clay-953f","Sales Automation","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/sales-automation","",",,","Nicolae Rusan","https://www.crunchbase.com/person/nicolae-rusan","Varun Anand","https://www.crunchbase.com/person/varun-anand-5a71","","—",""
"Kashable","Other","","","","New York","New York","Series C","Apr 27, 2026",",,,,","Consumer","Employee Benefits","Finance","Financial Services","124","92","—","South Asian Founded",",,","Greater New York Area","East Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/east-coast-united-states","Northeastern US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/northeastern-united-states","10017","Active","2013","—","—","For Profit","kashable.com","View on Twitter","https://x.com/getkashable","View on Facebook","https://www.facebook.com/kashable","View on LinkedIn","https://www.linkedin.com/company/kashable","info@kashable.com","(646) 214-7200","59","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/kashable","—","Kashable is a financial technology company that provides employer-sponsored lending and financial wellness solutions to employees. The platform offers access to personal loans as a voluntary workplace benefit, with repayment typically managed through payroll deductions and integrated with employer HR and payroll systems. It focuses on delivering financing options intended for workers who may need funds for unexpected expenses, with loan amounts, terms, and rates determined based on eligibility and financial history. In addition to lending, Kashable provides tools such as budgeting support, credit monitoring, and financial education resources to help users manage their finances. The company operates through partnerships with employers and benefits platforms to extend these services to a broad employee base across various industries.","—","—","—","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/kashable","Einat Steklov","https://www.crunchbase.com/person/einat-steklov","2","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/kashable","FinTech","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/fintech-e067","",",","Rishi Kumar","https://www.crunchbase.com/person/rishi-kumar-25bf","","",",","",""
"AcuityMD","","","","","Boston","Massachusetts","Series C","Apr 21, 2026",",,,","Health Care","Information Technology","Medical Device","mHealth","133","98","—","",",,","Greater Boston Area","East Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/east-coast-united-states","New England","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/new-england-united-states","—","Active","2019","—","—","For Profit","acuitymd.com","View on Twitter","https://x.com/acuitymd","","","View on LinkedIn","https://www.linkedin.com/company/acuitymd","info@acuitymd.com","—","78","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/acuity-md","Emerging Unicorn","AcuityMD provides a software platform designed for the medical technology sector that integrates healthcare data with internal sales information to support commercial decision-making. Its system enables users to identify target markets, evaluate opportunities, and manage sales processes such as pipeline tracking, territory alignment, and contract performance within a unified workflow. The platform combines real-world healthcare data with analytics to help organizations understand how and where medical devices are used, translating complex data into actionable insights for sales and marketing teams. It is used by a range of medical device companies, from early-stage firms to large enterprises, to guide commercialization strategies and monitor market performance.","—","—","—","251-500","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/acuity-md","Lee Smith","https://www.crunchbase.com/person/lee-smith-78f7","3","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/acuity-md","","","",",,","Michael Monovoukas","https://www.crunchbase.com/person/mike-monovouka","Robert Coe","https://www.crunchbase.com/person/robert-coe-10d5","—","—",""
"eMed","Internet Services","Mobile","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/mobile-ec09","Software","Miami","Florida","Series A","Mar 26, 2026",",,,,,,","Agentic AI","Communications Infrastructure","Health Care","Internet","134","99","$10M to $50M","Women Founded",",,","Greater Miami Area","East Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/east-coast-united-states","Southern US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/southern-united-states","33132","Active","2020","—","—","For Profit","www.emed.com","","","","","View on LinkedIn","https://www.linkedin.com/company/emeddigitalhealthcare","—","—","71","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/emed-digital-healthcare","Unicorn","eMed provides digital healthcare services that combine telehealth consultations, diagnostic testing, and treatment support through an integrated platform. The eMed Population Health app, funded by employers, is a personalized tool for weight management, helping users take control of their health. eMed facilitates easier connections with patients through features like live video consultations and real-time scheduling.","—","—","—","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/emed-digital-healthcare","Dr. Patrice A. Harris","https://www.crunchbase.com/person/patrice-a-harris","1","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/emed-digital-healthcare","mHealth","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/mhealth","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000","","","","","","","—","—"
"Wealth.com","Science and Engineering","Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6","","Tempe","Arizona","Series B","Apr 16, 2026",",,,,","Artificial Intelligence (AI)","Financial Services","FinTech","Machine Learning","140","102","$50M to $100M","",",","Greater Phoenix Area","Western US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/western-united-states","","","85281","Active","2022","—","—","For Profit","wealth.com","View on Twitter","https://x.com/wearewealth","","","View on LinkedIn","https://www.linkedin.com/company/wearewealth","info@wealth.com","—","91","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/wealth-67af","—","Wealth.com provides an artificial intelligence-powered estate and tax planning platform designed for financial advisors, enabling them to deliver structured, ongoing wealth planning services to clients. The company’s software integrates estate planning, tax analysis, and financial data into a single system that supports the creation, management, and continuous optimization of wealth strategies. Its core platform allows advisors to generate legal estate planning documents such as wills, trusts, and powers of attorney, while also offering tools to visualize wealth transfer scenarios and model long-term outcomes. The system includes a client portal where individuals can upload documents, track assets, and collaborate with advisors and other professionals involved in their financial planning.","—","—","—","51-100","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/wealth-67af","Danny Lohrfink","https://www.crunchbase.com/person/danny-lohrfink-809f","4","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/wealth-67af","Wealth Management","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/wealth-management","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00050000",",,,","Rafael Loureiro","https://www.crunchbase.com/person/rafael-loureiro-17d3","Rei Carvalho","https://www.crunchbase.com/person/rei-carvalho-973f","—","—",""
